,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
123,046a0f7e-aa4f-4628-9139-328a7ebda04f,cornélia cernea,https://play-lh.googleusercontent.com/a/ACg8ocINRBKr98GcNOOxpqFK_klw9co3Pk2n2droSXHTfo5P=mo,👍,5,0,24.10.1,2024-03-19 16:15:05,,,24.10.1
124,6157f7d2-d611-46ca-9eab-ba21d6a8e2bf,Patricia Sielczak,https://play-lh.googleusercontent.com/a-/ALV-UjWiRqBVe7U5mVW0sXT1OOb_kQtuRl91tehEYgvYIYtAz6Q,Bien reçu le colis,5,0,24.9.2,2024-03-19 16:14:40,,,24.9.2
125,cd4788fa-0d99-40d9-bdac-e4c307861edb,yvette rodriguez,https://play-lh.googleusercontent.com/a/ACg8ocK8q7Wp8HPcVewwfaiVp380wbnu867sGBXsC6g8tS72=mo,Bien reçu merci,5,0,24.10.1,2024-03-19 16:13:07,,,24.10.1
126,a6ad32b2-2ea1-4dd9-8bf2-59c42f26b0e4,Marie Fleisheuer,https://play-lh.googleusercontent.com/a-/ALV-UjXmcc1FLWp9dmB7IiRSvyN5HJigxKOeyqazqaGWZmIf62o,"Tout était parfait, super réactive 👍",5,0,24.10.1,2024-03-19 16:10:52,,,24.10.1
127,394d7abf-c4ad-4bd1-9b9a-375df91c2340,karine isenborghs,https://play-lh.googleusercontent.com/a-/ALV-UjVLs11pZ9moVCUp_Y5XNr-eDMPZTV9eKT-Uqj4yNxTskBE,Magnifique merci bcq je vous recommande,5,0,24.9.2,2024-03-19 15:59:07,,,24.9.2
128,5e6ce5f2-ff7b-4ae1-9ab6-5483b2adde82,jean-christophe verdiere,https://play-lh.googleusercontent.com/a/ACg8ocIN5lhD1DT_RrMSCNrdiPv7PFc0mUwYz7mSxs5cwdaj=mo,Conforme a la commande merci pour le cadeau 👍 envoi rapide Merci .,5,0,24.10.1,2024-03-19 15:50:55,,,24.10.1
129,59804d42-699c-472a-849d-300f61923a58,Marie Thérèse Claude,https://play-lh.googleusercontent.com/a/ACg8ocIADCSCOXk9b9OkM_x9nc-loF-vDP_kzSsrVqG66b8b=mo,Très satisfaite de l'article. La taille est parfaite tant au niveau de la ceinture que de la longueur. Merci.,5,0,24.11.3,2024-03-19 15:49:15,,,24.11.3
130,b26a5ee5-e8c7-4f93-9b67-14328effda85,Fanny Dehennault,https://play-lh.googleusercontent.com/a/ACg8ocJdHkky4ZImn47Tdi3QYBZPTClyas74J4alHB_e6pzI=mo,Chaussures en bon état. Merci beaucoup,5,0,24.10.1,2024-03-19 15:48:43,,,24.10.1
131,c5c2d1d0-72ee-46bb-ba58-ced3c0070fa0,Romain Andrys,https://play-lh.googleusercontent.com/a/ACg8ocJ-k0NszaqSHFUNev3_ZY4jOhj-ZUokVJQsA3a_QZlj=mo,Bonne appli,5,0,24.10.1,2024-03-19 15:45:42,,,24.10.1
132,41e9d059-ce0f-40f3-82d7-3b44c293f564,elysabeth Mazgay,https://play-lh.googleusercontent.com/a/ACg8ocLhSS1ih_oxdUYA4_DfRI-pVFAZhKj3aw0py_kXicM=mo,Personne trés sérieuse.commande faite samedi colis reçu le mardi . L article correspond tout à fait aux photos.,5,0,24.10.1,2024-03-19 15:33:21,,,24.10.1
133,4cbbd86d-d911-4a1e-ac44-5c0b628f6f11,Corinne Gerard,https://play-lh.googleusercontent.com/a-/ALV-UjWxl6si2oDKj_B8K6c0d25uJ7qT7al9Izs3TKDvRdThSkOC,Transaction parfaite et rapide,5,0,24.10.1,2024-03-19 15:26:59,,,24.10.1
134,f73985e6-3638-4744-95de-84dae40cd9dd,Decibelle,https://play-lh.googleusercontent.com/a-/ALV-UjUKbWwDbVIH4uD9AVEE5G2Kc4lXLrMFSWy3Ky5PjmBDhuc,"Vendeurs il faut booster ""payer""les annonces pour vendre pour cause les anciennes photos de vos anciens annonces se retrouve au fond d'une liste et aucune vu par des futurs clients.Se site d'occasion se dégrade avec une nouvelle règlementation 2024.De l'occasion plus cher que du neuf RESELL DE VÊTEMENTS.!!!! S'enrichir et après faire le pauvre pour faire des offres Misérables et pitoyables 👈 l'être humain et petit et le monde et grands de petits gens!!!!👈 Des signalements qui ne servent à rien",1,7,24.11.3,2024-03-19 15:25:38,,,24.11.3
135,1eee169e-5e18-40c0-9d7b-697247d6463c,Silvia Afonso,https://play-lh.googleusercontent.com/a/ACg8ocJDxr_G1xEDBbdPYrWEjXfdSO001xoggQE6GRX4LhZU=mo,👌,5,0,24.7.0,2024-03-19 15:24:04,,,24.7.0
